marital_status,age,gender,Race,Income,education_level
Married,56,Female,Black,70658,Above_Bachelor
Not_Married,31,Male,Other,75904,Below_High_School
Married,60,Male,Asian,6619,Above_Bachelor
Not_Married,31,Male,White,75007,Bachelor
Not_Married,95,Female,Asian,41676,High_School
Married,85,Male,Black,79288,Bachelor
Not_Married,99,Female,Black,49721,Some_College
Not_Married,61,Female,Other,104260,Below_High_School
Not_Married,54,Male,White,56770,Above_Bachelor
Not_Married,77,Female,American Indian,66320,Below_High_School
Married,43,Male,White,29977,Above_Bachelor
Married,38,Female,White,80166,Bachelor
Not_Married,39,Male,American Indian,143464,Some_College
Married,49,Male,Asian,52722,Below_High_School
Married,19,Female,Black,130598,Below_High_School
Married,94,Female,White,104666,Bachelor
Not_Married,22,Male,Asian,26320,Above_Bachelor
Not_Married,25,Male,American Indian,26730,Above_Bachelor
Married,70,Male,American Indian,82759,Above_Bachelor
Not_Married,83,Male,Asian,115265,Some_College
Not_Married,74,Female,Asian,143964,Below_High_School
Married,30,Male,Other,145742,Above_Bachelor
Not_Married,49,Female,Asian,104140,Below_High_School
Not_Married,56,Male,White,133355,Some_College
Married,76,Female,Other,148963,Bachelor
Married,52,Female,White,93398,Bachelor
Not_Married,70,Male,White,2565,High_School
Not_Married,98,Female,White,41859,Some_College
Not_Married,66,Female,White,12692,Some_College
Not_Married,29,Male,American Indian,57696,Above_Bachelor
Married,49,Male,Asian,83858,Bachelor
Married,37,Female,Other,2356,High_School
Married,72,Male,Black,84135,Bachelor
Not_Married,19,Male,Asian,1325,Bachelor
Not_Married,57,Male,White,6318,Bachelor
Married,93,Female,Black,126698,Below_High_School
Not_Married,95,Female,Other,109077,Some_College
Married,73,Male,Black,111907,Bachelor
Married,88,Male,Asian,49180,Some_College
Married,100,Male,White,71787,Some_College
Married,41,Male,Black,107752,High_School
Not_Married,52,Male,Black,36235,Some_College
Married,29,Male,White,25059,Above_Bachelor
Married,78,Female,Black,25267,Some_College
Married,77,Female,Other,100813,High_School
Not_Married,43,Female,White,15441,Above_Bachelor
Married,100,Male,Asian,53696,Below_High_School
Married,78,Male,White,71615,High_School
Not_Married,45,Male,Asian,40208,Above_Bachelor
Not_Married,81,Male,Other,111061,Some_College
Not_Married,30,Female,White,110832,Below_High_School
Not_Married,94,Female,Other,32460,Bachelor
Married,86,Female,Black,42671,Some_College
Not_Married,30,Male,Other,38991,Above_Bachelor
Not_Married,25,Male,Black,145063,Above_Bachelor
Married,50,Male,American Indian,101720,Above_Bachelor
Married,20,Female,Asian,10022,High_School
Married,94,Female,Asian,79843,Some_College
Not_Married,41,Female,White,123880,Above_Bachelor
Not_Married,18,Male,Black,105062,Above_Bachelor
Married,23,Male,White,116367,Below_High_School
Married,70,Female,White,135093,Above_Bachelor
Not_Married,25,Female,White,129280,Bachelor
Married,68,Male,American Indian,9191,Above_Bachelor
Married,89,Female,White,148317,Above_Bachelor
Not_Married,60,Male,American Indian,121942,High_School
Not_Married,26,Male,Black,20465,High_School
Not_Married,33,Female,Black,109946,Some_College
Married,100,Male,Black,49004,Bachelor
Not_Married,96,Female,Black,12958,Some_College
Married,50,Male,American Indian,145848,Above_Bachelor
Not_Married,85,Male,Black,7070,Below_High_School
Married,69,Male,American Indian,80630,Bachelor
Married,40,Male,White,44349,Some_College
Married,21,Female,Other,20276,Above_Bachelor
Married,79,Male,White,98690,Below_High_School
Not_Married,50,Female,American Indian,55385,Some_College
Married,54,Female,Other,27764,Some_College
Married,85,Female,Asian,140755,Bachelor
Not_Married,44,Male,American Indian,88179,Below_High_School
Married,73,Male,Other,130275,Above_Bachelor
Married,67,Female,Black,120079,Above_Bachelor
Not_Married,76,Female,White,111769,High_School
Not_Married,69,Female,Black,130885,Some_College
Not_Married,77,Male,Asian,10390,Above_Bachelor
Not_Married,87,Male,Other,23763,Bachelor
Married,54,Female,Black,47149,Bachelor
Married,54,Male,Asian,111252,Some_College
Married,29,Male,Black,15375,Some_College
Not_Married,20,Male,White,116063,Above_Bachelor
Married,22,Female,Black,122911,High_School
Not_Married,20,Female,American Indian,130129,Below_High_School
Married,64,Male,White,24067,Above_Bachelor
Married,95,Female,White,140306,High_School
Not_Married,48,Female,Other,148563,Above_Bachelor
Married,64,Female,Other,93590,Bachelor
Not_Married,49,Female,Other,107826,Bachelor
Married,28,Female,White,98231,High_School
Married,30,Male,Other,46528,Below_High_School
Not_Married,80,Male,Asian,44864,Some_College
Married,34,Female,American Indian,110472,Above_Bachelor
Married,64,Male,American Indian,11255,Bachelor
Married,74,Female,Asian,100387,Below_High_School
Married,27,Male,American Indian,46775,Below_High_School
Married,32,Male,American Indian,86127,High_School
Not_Married,95,Male,American Indian,98429,Some_College
Married,66,Male,Other,95469,Bachelor
Married,73,Female,White,80045,High_School
Married,72,Female,American Indian,95736,Bachelor
Not_Married,91,Male,Asian,74162,Above_Bachelor
Married,67,Male,Asian,55389,High_School
Not_Married,80,Female,White,143227,Above_Bachelor
Married,60,Male,Asian,87780,Bachelor
Not_Married,71,Male,American Indian,26799,Bachelor
Not_Married,64,Female,Asian,127464,Bachelor
Not_Married,45,Female,American Indian,57895,Bachelor
Married,24,Female,Other,34787,Some_College
Married,91,Female,Black,107906,High_School
Married,53,Female,Asian,42749,Below_High_School
Not_Married,44,Female,Asian,126833,High_School
Married,55,Male,Black,55744,Below_High_School
Not_Married,46,Male,American Indian,39669,Bachelor
Not_Married,40,Female,Other,18414,High_School
Married,47,Male,White,132635,Below_High_School
Not_Married,36,Male,American Indian,11144,Below_High_School
Not_Married,32,Female,Black,125282,Bachelor
Married,52,Male,Black,16225,High_School
Married,74,Male,White,6426,High_School
Married,67,Female,Other,55118,Below_High_School
Married,20,Female,Asian,53521,High_School
Not_Married,19,Female,White,11760,Below_High_School
Married,19,Female,Asian,32625,Above_Bachelor
Not_Married,98,Male,Other,39538,Above_Bachelor
Married,45,Male,Asian,27647,Bachelor
Married,34,Female,Asian,23949,Below_High_School
Not_Married,51,Female,Other,132825,Below_High_School
Not_Married,42,Male,Black,91258,Above_Bachelor
Married,50,Male,Black,68526,Bachelor
Not_Married,81,Male,Other,76490,Some_College
Married,36,Female,Asian,134398,Above_Bachelor
Married,96,Male,American Indian,112703,High_School
Married,64,Male,Asian,649,Some_College
Married,74,Female,American Indian,136954,Below_High_School
Married,22,Female,Asian,99931,High_School
Not_Married,72,Female,American Indian,54263,Bachelor
Not_Married,63,Female,Black,17005,Above_Bachelor
Not_Married,41,Male,Black,36667,High_School
Not_Married,64,Female,Other,56228,High_School
Not_Married,75,Male,American Indian,54558,Above_Bachelor
Not_Married,87,Female,White,64959,Below_High_School
Not_Married,38,Female,Black,116367,Some_College
Married,49,Female,Other,50746,Bachelor
Not_Married,41,Male,Other,110385,Below_High_School
Married,50,Female,Asian,144523,High_School
Not_Married,51,Female,American Indian,53737,Below_High_School
Married,71,Female,Black,22708,Some_College
Married,19,Female,White,11493,Above_Bachelor
Married,47,Male,Asian,4530,Bachelor
Not_Married,59,Male,Other,19974,Above_Bachelor
Married,53,Female,Other,99532,Some_College
Not_Married,30,Male,Other,82055,High_School
Not_Married,21,Female,Black,90544,Below_High_School
Not_Married,99,Male,Other,119821,Bachelor
Not_Married,74,Female,White,95595,Bachelor
Not_Married,26,Female,Black,35068,Above_Bachelor
Married,98,Male,Black,70663,Bachelor
Married,57,Male,American Indian,30765,Above_Bachelor
Not_Married,72,Male,Asian,16921,Below_High_School
Not_Married,45,Female,Black,132365,Below_High_School
Not_Married,87,Male,Black,107761,Below_High_School
Not_Married,88,Male,Asian,123422,High_School
Married,89,Female,Other,148941,Bachelor
Not_Married,43,Female,Black,64359,High_School
Married,78,Male,White,28084,Bachelor
Not_Married,37,Male,White,92738,Above_Bachelor
Married,60,Female,American Indian,51648,Below_High_School
Married,74,Male,American Indian,86759,Below_High_School
Married,88,Female,Asian,36084,Bachelor
Not_Married,54,Female,Black,58940,Below_High_School
Married,94,Female,Asian,51668,Below_High_School
Married,92,Female,White,63424,Below_High_School
Not_Married,76,Male,White,23281,Bachelor
Married,51,Male,White,98999,Below_High_School
Married,87,Female,Asian,59079,Some_College
Not_Married,48,Male,Other,119966,Bachelor
Married,81,Male,Asian,25038,High_School
Not_Married,59,Male,Asian,49074,Below_High_School
Married,56,Female,Other,37643,Below_High_School
Married,72,Male,American Indian,94499,Some_College
Not_Married,83,Male,Asian,72190,High_School
Not_Married,35,Male,American Indian,118479,High_School
Married,86,Female,Asian,123154,Bachelor
Married,92,Female,White,55181,Above_Bachelor
Married,87,Male,American Indian,3823,Above_Bachelor
Married,78,Male,Black,29541,High_School
Not_Married,55,Female,Black,14489,Some_College
Married,69,Male,Black,7099,Below_High_School
Married,80,Female,White,114750,Bachelor
Married,56,Female,American Indian,142132,Some_College
Not_Married,53,Male,White,99828,Below_High_School
Not_Married,25,Female,American Indian,79623,High_School
Married,24,Male,Other,121280,Below_High_School
Married,22,Male,Black,45203,High_School
Not_Married,81,Male,Asian,85948,Above_Bachelor
Married,29,Female,American Indian,36666,Some_College
Not_Married,82,Female,Black,103399,Below_High_School
Married,76,Male,Black,27077,Above_Bachelor
Married,40,Female,White,107568,Above_Bachelor
Married,18,Female,Other,81802,Below_High_School
Not_Married,97,Male,White,38537,Above_Bachelor
Married,30,Female,Other,11847,Above_Bachelor
Not_Married,46,Female,Black,32937,Above_Bachelor
Not_Married,90,Female,White,81130,Some_College
Not_Married,25,Female,Black,104664,Some_College
Married,35,Male,White,105039,High_School
Married,89,Male,White,79915,High_School
Not_Married,81,Female,Asian,37935,Below_High_School
Not_Married,21,Female,Black,82114,High_School
Married,62,Male,Other,37086,Above_Bachelor
Married,98,Female,Asian,3133,Below_High_School
Married,30,Male,American Indian,30248,Bachelor
Not_Married,41,Male,Asian,47629,Some_College
Married,52,Male,American Indian,131326,Bachelor
Married,47,Male,Asian,62999,Bachelor
Not_Married,74,Male,Black,34771,High_School
Not_Married,47,Female,Asian,35462,Above_Bachelor
Married,82,Male,Other,124953,Below_High_School
Married,80,Male,Other,88831,Some_College
Not_Married,52,Male,White,122670,Bachelor
Not_Married,33,Female,Black,102653,Bachelor
Not_Married,43,Male,Asian,103976,Below_High_School
Married,32,Female,Other,93118,High_School
Not_Married,73,Male,White,105751,Above_Bachelor
Not_Married,74,Male,White,130024,High_School
Married,73,Male,White,66478,Bachelor
Not_Married,42,Female,Asian,19235,Some_College
Married,56,Female,White,149212,High_School
Married,54,Female,Black,87473,High_School
Not_Married,66,Male,American Indian,10316,Bachelor
Not_Married,18,Female,Asian,68100,High_School
Married,18,Male,Other,75936,Below_High_School
Married,55,Female,American Indian,132006,Below_High_School
Married,38,Female,Other,145105,Some_College
Not_Married,77,Male,Black,41029,High_School
Not_Married,70,Male,White,17035,Some_College
Married,55,Male,Other,4196,Below_High_School
Not_Married,79,Female,White,21917,Bachelor
Not_Married,86,Female,Asian,125159,Bachelor
Married,86,Male,Asian,69000,Some_College
Not_Married,24,Male,White,87532,Some_College
Not_Married,63,Male,Asian,72577,Above_Bachelor
Married,98,Female,American Indian,10735,Some_College
Not_Married,37,Male,Other,132687,High_School
Married,62,Female,American Indian,127659,Below_High_School
Not_Married,55,Female,White,110488,Above_Bachelor
Married,26,Male,Black,43942,Above_Bachelor
Not_Married,77,Female,White,105878,Above_Bachelor
Married,85,Male,American Indian,52664,Below_High_School
Married,87,Male,Black,15649,High_School
Not_Married,82,Male,Other,117955,Some_College
Married,26,Female,Other,23540,Bachelor
Not_Married,90,Female,Other,87586,Below_High_School
Married,72,Female,White,142276,Above_Bachelor
Not_Married,82,Male,American Indian,106405,Bachelor
Married,46,Male,White,118583,Some_College
Not_Married,86,Female,Other,123435,High_School
Married,80,Female,Asian,12908,Below_High_School
Married,42,Male,Black,25383,Some_College
Married,69,Male,Black,147965,High_School
Married,88,Male,Other,144394,Below_High_School
Married,31,Male,White,94756,Bachelor
Married,36,Female,Other,99825,High_School
Married,92,Male,Asian,55324,Some_College
Not_Married,80,Male,White,126453,Some_College
Not_Married,78,Female,Other,128115,Some_College
Not_Married,79,Male,White,69880,High_School
Not_Married,83,Female,American Indian,92283,Bachelor
Not_Married,86,Male,Black,80441,Bachelor
Married,73,Female,Other,56066,High_School
Not_Married,19,Male,Other,51136,Below_High_School
Married,65,Female,Black,88280,Above_Bachelor
Not_Married,62,Female,White,98321,High_School
Married,69,Male,Black,25057,High_School
Married,49,Female,American Indian,35013,High_School
Married,89,Male,Asian,67031,Above_Bachelor
Married,68,Female,Black,99291,Bachelor
Married,95,Male,Asian,143277,Below_High_School
Married,96,Male,Black,96830,Some_College
Not_Married,55,Female,American Indian,54461,High_School
Married,25,Female,Asian,87032,Above_Bachelor
Not_Married,73,Female,Black,53091,Below_High_School
Married,79,Female,Asian,68033,High_School
Not_Married,37,Female,Other,113731,Bachelor
Married,28,Male,White,52051,Bachelor
Not_Married,19,Male,American Indian,32879,High_School
Not_Married,35,Female,American Indian,118054,High_School
Not_Married,59,Female,Asian,58335,High_School
Not_Married,73,Male,White,34067,Below_High_School
Married,88,Female,Black,144233,Some_College
Married,29,Female,Black,85047,Above_Bachelor
Not_Married,52,Female,White,61715,Above_Bachelor
Not_Married,23,Female,American Indian,78116,Some_College
Not_Married,87,Male,Asian,148875,Bachelor
Not_Married,21,Male,Asian,92601,Bachelor
Married,84,Male,Other,58690,Some_College
Not_Married,71,Female,White,81783,Some_College
Not_Married,43,Male,Other,122328,Below_High_School
Married,56,Female,Other,25743,Bachelor
Married,97,Male,Black,128928,Above_Bachelor
Not_Married,25,Female,American Indian,38067,Below_High_School
Married,69,Male,American Indian,37543,High_School
Not_Married,74,Male,Asian,101249,Bachelor
Not_Married,64,Male,Other,49640,Below_High_School
Not_Married,65,Female,Other,120052,Some_College
Not_Married,53,Male,Black,116129,Below_High_School
Married,84,Male,Asian,143823,Below_High_School
Married,41,Female,White,6973,High_School
Married,89,Male,Black,132935,High_School
Not_Married,55,Male,Other,13753,High_School
Not_Married,28,Female,Black,19708,High_School
Married,55,Male,American Indian,1147,Bachelor
Married,80,Female,Asian,101189,High_School
Not_Married,87,Female,Other,921,Bachelor
Not_Married,44,Male,American Indian,104932,Below_High_School
Married,95,Male,Other,149175,High_School
Married,81,Male,American Indian,703,Above_Bachelor
Not_Married,62,Male,Asian,49459,Below_High_School
Not_Married,49,Male,Asian,42134,Below_High_School
Married,41,Male,Other,98012,Bachelor
Not_Married,59,Female,White,10541,Below_High_School
Not_Married,27,Male,Other,44224,Above_Bachelor
Not_Married,93,Male,White,96024,Below_High_School
Married,18,Male,Other,1165,Above_Bachelor
Not_Married,54,Female,American Indian,140895,Above_Bachelor
Married,97,Male,Other,52277,Below_High_School
Not_Married,78,Male,Black,9866,Bachelor
Not_Married,71,Male,White,107435,High_School
Married,73,Female,Asian,137465,Bachelor
Not_Married,35,Male,Other,439,Below_High_School
Married,41,Female,White,124663,Above_Bachelor
Not_Married,74,Male,Asian,113915,Above_Bachelor
Not_Married,49,Female,White,109396,High_School
Not_Married,23,Female,American Indian,730,Below_High_School
Not_Married,55,Female,Black,141659,Below_High_School
Not_Married,79,Male,White,119132,Bachelor
Married,46,Male,Other,28957,Bachelor
Married,92,Male,Other,133557,Below_High_School
Married,88,Male,American Indian,75222,Bachelor
Not_Married,98,Female,Asian,49347,Above_Bachelor
Married,19,Male,American Indian,98708,Bachelor
Married,50,Male,White,149230,High_School
Married,95,Male,White,40193,Bachelor
Married,46,Male,Asian,10530,High_School
Married,28,Male,Asian,147020,Some_College
Not_Married,64,Male,White,146597,Bachelor
